spotify_track_uri,image_url
2wvMC5EyaaYQwBfiwwY2xE,https://i.scdn.co/image/ab67616d0000b273d6627cd5a3fb6403c70471be
4HxnOn1CD4EnAHvJAyVCMo,https://i.scdn.co/image/ab67616d0000b273527facfe11e3ba7b24139c26
6CMfwqQDClmER85rhvVbOG,https://i.scdn.co/image/ab67616d0000b2731444035fa577f79e325b4033
0nS5Sgk5fMGT8dUC1L7OvG,https://i.scdn.co/image/ab67616d0000b273fcf5fe7c303170c384855fe2
0HWQncFFsLAzCq8u9ug0Yp,https://i.scdn.co/image/ab67616d0000b27316d009f1369b4c886fdbe134
4HiVpz0nbHCzcIMxVDyLNR,https://i.scdn.co/image/ab67616d0000b2731e3ce0ab97cebfccd93b0590
70LanHtkhQMMOEnQEKWpRz,https://i.scdn.co/image/ab67616d0000b273a139da19551b979d132abdff
5Ldkz9SwI7nkAAunQld3aF,https://i.scdn.co/image/ab67616d0000b273544151b89b496cc6c49ef29e
41XiurZlYzjsKtQUG8VS5L,https://i.scdn.co/image/ab67616d0000b273dbc6d22d333abfce6b58d665
4jyZ3I1hYRcOkI8RJhxgCb,https://i.scdn.co/image/ab67616d0000b27353aad61053bd83196f4559fc
6jMRqEHVRC3iamsSscJlbz,https://i.scdn.co/image/ab67616d0000b273f65523eab3152dcca83b6fca
1BhkCNB6yE8OPdOnazI3O5,https://i.scdn.co/image/ab67616d0000b2738b0da998550d749d2e0b61d9
0YdSIXOY8QWbRtWaBlnlNo,https://i.scdn.co/image/ab67616d0000b27360df198fc5bfbb8730177eb0
3BQHpFgAp4l80e1XslIjNI,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa
1hWQvA6oGVJ2mAVsZ59AaV,https://i.scdn.co/image/ab67616d0000b273246144608c2e1325b70adcb0
28WP0jPuEdz4HTFLIhCzrd,https://i.scdn.co/image/ab67616d0000b273fa607adcab78eb64046ce855
6l9EToqnhtadmJ6qX9DDUl,https://i.scdn.co/image/ab67616d0000b2733693915c494b153ce9120256
2tGbfj0sLly8SQZjmLoXab,https://i.scdn.co/image/ab67616d0000b2738cdc0a6885821934441089ee
0eDQj41kzBhMKQIkTt6OJR,https://i.scdn.co/image/ab67616d0000b2736b3fa88bdd4af566fbbf2bbf
3wAX3qn53iQUFE84hpfeen,https://i.scdn.co/image/ab67616d0000b27372ca15b8637acbc7d15ff5ba
766xHIE1Ut9IBZ9c4iPq1K,https://i.scdn.co/image/ab67616d0000b273b5e439db4f64a8e271099a75
6YU1CWbu43zkv21W0FyN10,https://i.scdn.co/image/ab67616d0000b2736c6610322fc60bfb41481273
3RMq7XrI3UtLXZBESe69fk,https://i.scdn.co/image/ab67616d0000b27380dc3aa20b621abdc4c18bc6
0htjtrOVbQpWoDYYwPIrWY,https://i.scdn.co/image/ab67616d0000b273afb4accd45527de5717afc9a
4pO0E8qFtHSeHN7biwTsIg,https://i.scdn.co/image/ab67616d0000b273ff67da760004d6046e57feab
3yEu8l4Oir2VCnI2ltWvDG,https://i.scdn.co/image/ab67616d0000b27377947d474e6070e8292a0c04
0akyEssGRVHstqCSWXusJL,https://i.scdn.co/image/ab67616d0000b2736c4c83779f5d3cd6ad3e1aec
6WuKJi5EXFn7RuS5dvLfZB,https://i.scdn.co/image/ab67616d0000b2731cf7e27ac5a95d7069ffad98
49Cjuhaw2h9ulp2KxGUHMn,https://i.scdn.co/image/ab67616d0000b273f6ecbe11d7d428aad3ec5d7b
0hmxVkpxbcdHAXUoZ7DeCQ,https://i.scdn.co/image/ab67616d0000b273be79a7796e34ea9409e110fe
6LwvkhKOTuaInZ6AvIwMBN,https://i.scdn.co/image/ab67616d0000b27337433a27bc20124c53242393
6splO3UF8hSmK33y5fJTNk,https://i.scdn.co/image/ab67616d0000b2733dc1ad51381cfbb9800bced8
7A2PCFOx0h6mv9npCSMwOh,https://i.scdn.co/image/ab67616d0000b27377947d474e6070e8292a0c04
6J4lRYUiuWO7BLOntAJnUx,https://i.scdn.co/image/ab67616d0000b2736386bf63d1326306c9b168ef
